comparison,metric,mean_a,mean_b,n_a,n_b,t_stat,t_p,mwu_stat,mwu_p,cohens_d,ci95_diff_lo,ci95_diff_hi,significant_p05,group_col,f_stat,p_value,planner,test_type
TrustAwareCVaR_vs_RiskAwarePlanner,cvar95,0.06501441449715958,0.052520274231727705,600.0,600.0,3.4966866970752886,0.0004890794507119306,197599.0,0.0033226197015883718,0.20188130058282014,0.005733053498096217,0.019775520128450196,True,,,,,
TrustAwareCVaR_vs_RiskAwarePlanner,energy,22.120932915376045,22.100466060290554,600.0,600.0,0.025957094401661312,0.9792958835930269,179147.0,0.8865544562966053,0.0014986335440179683,-1.512177473386665,1.5753162507251386,False,,,,,
TrustAwareCVaR_vs_RiskAwarePlanner,path_length,21.554432915376044,21.520382726957212,600.0,600.0,0.04375041168552126,0.9651106457689873,178942.5,0.8592782106723266,0.002525931196379265,-1.4771427775472716,1.556949263687837,False,,,,,
TrustAwareCVaR_vs_RiskAwarePlanner,avg_replan_latency_ms,5.946311530000073,3.4429851994444682,600.0,600.0,17.221069589133116,1.399799251552372e-58,274531.0,7.030442930195011e-56,0.9942589163019282,2.2158058691736784,2.7766975207014153,True,,,,,
TrustAwareCVaR_vs_DynNavCurrent,collisions,0.35833333333333334,0.36833333333333335,600.0,600.0,-0.3598431209695146,0.7190278799767066,178200.0,0.7189414895729348,-0.02077555227577843,-0.065,0.043374999999999775,False,,,,,
TrustAwareCVaR_vs_DynNavCurrent,success,0.5016666666666667,0.49166666666666664,600.0,600.0,0.346146366360154,0.7292934996142783,181800.0,0.7292094718701317,0.019984769779704575,-0.048333333333333284,0.0650416666666665,False,,,,,
TrustAwareCVaR_vs_DynNavCurrent,cvar95,0.06501441449715958,0.05978141794252825,600.0,600.0,1.3746476275857598,0.16949888568938182,187440.5,0.21447357468090744,0.07936531778275187,-0.0020680979769199964,0.01280961111307101,False,,,,,
TrustAwareCVaR_vs_DynNavCurrent,energy,22.120932915376045,21.963239155161077,600.0,600.0,0.20035270442295558,0.84123875129089,179738.5,0.965109723525607,0.01156736878314629,-1.3490030943522084,1.6599870589844334,False,,,,,
TrustAwareCVaR_vs_DynNavCurrent,path_length,21.554432915376044,21.405155821827737,600.0,600.0,0.19200858079613645,0.8477680237833376,177932.5,0.7281954789961174,0.011085620580936737,-1.3600824847214295,1.6309649806372664,False,,,,,
TrustAwareCVaR_vs_DynNavCurrent,avg_replan_latency_ms,5.946311530000073,4.526811100972353,600.0,600.0,8.80599371871821,4.569482428691156e-18,238671.0,1.4509295848661643e-22,0.5084142843984112,1.0972936859583777,1.724691193798716,True,,,,,
,collisions,,,,,,,,,,,,,target_ece,0.35129722491172793,0.8432683997513548,CVaRPlanner,ANOVA_calibration_levels
,success,,,,,,,,,,,,,target_ece,0.3242682335783301,0.86184616780545,CVaRPlanner,ANOVA_calibration_levels
,cvar95,,,,,,,,,,,,,target_ece,0.6027660025927375,0.6606586172633632,CVaRPlanner,ANOVA_calibration_levels
CVaRPlanner_ECE0.01_vs_CVaRPlanner_ECE0.30,collisions,0.3616666666666667,0.34833333333333333,600.0,600.0,0.4822644718505809,0.6297061862783768,182400.0,0.629579793169437,0.027843552264352554,-0.040000000000000036,0.06666666666666671,False,,,,,
,collisions,,,,,,,,,,,,,target_ece,0.35129722491172793,0.8432683997513548,DynNavCurrent,ANOVA_calibration_levels
,success,,,,,,,,,,,,,target_ece,0.3242682335783301,0.86184616780545,DynNavCurrent,ANOVA_calibration_levels
,cvar95,,,,,,,,,,,,,target_ece,0.6027660025927375,0.6606586172633632,DynNavCurrent,ANOVA_calibration_levels
DynNavCurrent_ECE0.01_vs_DynNavCurrent_ECE0.30,collisions,0.3616666666666667,0.34833333333333333,600.0,600.0,0.4822644718505809,0.6297061862783768,182400.0,0.629579793169437,0.027843552264352554,-0.040000000000000036,0.06666666666666671,False,,,,,
,collisions,,,,,,,,,,,,,target_ece,0.44153442237539386,0.7786589140092942,TrustAwareCVaR,ANOVA_calibration_levels
,success,,,,,,,,,,,,,target_ece,0.40425633636197866,0.8057103404480487,TrustAwareCVaR,ANOVA_calibration_levels
,cvar95,,,,,,,,,,,,,target_ece,0.41382391598181495,0.7988040756013238,TrustAwareCVaR,ANOVA_calibration_levels
TrustAwareCVaR_ECE0.01_vs_TrustAwareCVaR_ECE0.30,collisions,0.37333333333333335,0.34,600.0,600.0,1.2050107093539513,0.2284372492795521,186000.0,0.22832561764022452,0.06957132574218856,-0.021666666666666667,0.08670833333333311,False,,,,,
,collisions,,,,,,,,,,,,,trust,0.42168815572482615,0.7931066118530633,TrustAwareCVaR,ANOVA_trust_levels
,success,,,,,,,,,,,,,trust,0.38497941791964224,0.8195267409847453,TrustAwareCVaR,ANOVA_trust_levels
,cvar95,,,,,,,,,,,,,trust,15.946700086089518,6.346692154813278e-13,TrustAwareCVaR,ANOVA_trust_levels
,energy,,,,,,,,,,,,,trust,0.02114458575678987,0.9991300791208122,TrustAwareCVaR,ANOVA_trust_levels
